# NumberOfElements	time
20	0.000001
20	0.000001
20	0.000002
20	0.000002
20	0.000001
20	0.000002
20	0.000001
20	0.000002
20	0.000001
20	0.000001
20	0.000002
20	0.000002
20	0.000001
20	0.000001
20	0.000002
20	0.000001
20	0.000001
20	0.000002
20	0.000001
20	0.000002
20	0.000002
20	0.000001
20	0.000002
20	0.000001
20	0.000002
20	0.000001
20	0.000002
20	0.000001
20	0.000002
20	0.000001
20	0.000002
20	0.000002
20	0.000002
20	0.000002
20	0.000002
20	0.000002
20	0.000001
20	0.000001
20	0.000001
20	0.000002
20	0.000002
20	0.000002
20	0.000002
20	0.000001
20	0.000003
20	0.000001
20	0.000002
20	0.000002
